name,released,rating,rating_top,ratings_count,suggestions_count,reviews_count
Vampire: The Masquerade – Bloodlines 2,2025-10-21,3.88,5,327,554,381
Hollow Knight: Silksong,2025-09-04,4.31,5,172,428,185
Clair Obscur: Expedition 33,2025-04-24,4.51,5,293,311,310
Hades II,2025-09-25,4.42,5,80,372,80
Split Fiction,2025-03-06,4.43,5,165,0,171
Death Stranding 2: On The Beach,2025-06-26,4.34,5,58,379,61
Kingdom Come: Deliverance II,2025-02-03,4.33,5,107,312,112
Avowed,2025-02-18,3.29,4,102,207,107
Assassin's Creed Shadows,2025-03-20,3.23,4,61,304,65
Doom: The Dark Ages,2025-05-15,4.36,5,58,145,61
Slime Rancher 2,2025-09-23,3.92,4,30,239,36
Mafia: The Old Country,2025-08-08,3.79,4,42,61,43
The Alters,2025-06-13,4.34,5,59,271,67
Necesse,2025-10-16,3.1,3,18,180,20
The Outer Worlds 2,2025-10-29,3.93,5,12,14,14
Metal Gear Solid Delta: Snake Eater,2025-08-28,3.66,4,25,295,29
Peekaboo,2025-03-26,2.53,1,19,390,19
The Elder Scrolls IV: Oblivion Remastered,2025-04-22,4.02,4,48,182,48
Ghost of Yotei,2025-10-02,4.09,5,20,0,23
The Wandering Village,2025-07-17,3.8,4,23,334,25
Silent Hill f,2025-09-24,3.65,4,53,478,55
MetaMorph,2025-03-04,0.0,0,4,323,4
Monster Hunter Wilds,2025-02-27,4.25,5,28,577,32
Tainted Grail: The Fall of Avalon,2025-05-23,3.79,5,38,33,39
South of Midnight,2025-04-08,3.64,4,58,116,58
Voidtrain,2025-11-07,3.42,4,28,181,33
The First Berserker: Khazan,2025-03-27,3.68,4,20,319,22
Hell is Us,2025-09-04,3.27,4,15,191,15
Little Nightmares III,2025-10-09,3.5,5,16,108,16
ARC Raiders,2025-10-30,2.92,4,10,303,12
Little Witch in the Woods,2025-09-15,3.6,4,9,43,10
Atomfall,2025-03-27,3.48,4,23,67,23
Blue Prince,2025-04-10,4.2,5,41,171,44
Cronos: The New Dawn,2025-09-04,3.89,4,34,79,35
Borderlands 4,2025-09-12,3.9,5,10,0,10
Atomic Heart: Annihilation Instinct,2025-01-28,3.62,4,56,570,58
