name,stores,released,rating,rating_top,ratings_count,suggestions_count,reviews_count,parent_platforms,genres
Vampire: The Masquerade – Bloodlines 2,"Steam, GOG, Epic Games",2025-10-21,3.86,5,330,554,384,"PC, PlayStation, Xbox","Action, RPG"
Hollow Knight: Silksong,"Steam, GOG",2025-09-04,4.29,5,178,428,191,"PC, PlayStation, Xbox, Apple Macintosh, Linux, Nintendo","Indie, Platformer, Adventure, Action"
Clair Obscur: Expedition 33,"Steam, PlayStation Store, Xbox Store, Epic Games",2025-04-24,4.52,5,301,311,320,"PC, PlayStation, Xbox",RPG
Hades II,"Steam, Epic Games",2025-09-25,4.38,5,83,372,84,"PC, Nintendo","Indie, Adventure, Action, RPG"
Split Fiction,"Steam, PlayStation Store, Epic Games",2025-03-06,4.43,5,169,0,175,"PC, PlayStation, Xbox","Adventure, Action"
Death Stranding 2: On The Beach,PlayStation Store,2025-06-26,4.35,5,59,379,62,PlayStation,"Adventure, Action"
Kingdom Come: Deliverance II,"Steam, GOG",2025-02-03,4.34,5,109,312,114,"PC, PlayStation, Xbox","Adventure, Action, RPG"
Avowed,Steam,2025-02-18,3.27,4,104,207,109,"PC, Xbox",RPG
Assassin's Creed Shadows,"Steam, App Store, Epic Games",2025-03-20,3.2,4,62,304,66,"PC, PlayStation, Xbox, Apple Macintosh","Adventure, Action"
Doom: The Dark Ages,"Steam, PlayStation Store",2025-05-15,4.31,5,59,145,62,"PC, PlayStation, Xbox",Action
Slime Rancher 2,"Steam, Epic Games",2025-09-23,3.92,4,30,239,36,"PC, Xbox","Adventure, Action, Casual, Simulation, Indie"
Mafia: The Old Country,Steam,2025-08-08,3.8,4,43,61,44,"PC, PlayStation, Xbox","Adventure, Action"
The Alters,"Steam, PlayStation Store, Xbox Store, GOG",2025-06-13,4.34,5,59,271,67,"PC, PlayStation, Xbox",Adventure
Necesse,Steam,2025-10-16,3.1,3,18,180,20,PC,"Indie, Adventure, Action"
The Outer Worlds 2,Steam,2025-10-29,4.11,5,17,14,19,"PC, Xbox","Shooter, Adventure, Action, RPG"
Metal Gear Solid Delta: Snake Eater,PlayStation Store,2025-08-28,3.67,4,25,295,30,"PC, PlayStation, Xbox",Action
Peekaboo,Steam,2025-03-26,2.53,1,19,390,19,PC,"Adventure, Action, RPG, Casual, Indie"
The Elder Scrolls IV: Oblivion Remastered,"Steam, PlayStation Store, Xbox Store",2025-04-22,4.02,4,50,182,50,"PC, PlayStation, Xbox","Adventure, Action, RPG"
Ghost of Yotei,,2025-10-02,4.04,5,22,0,26,PlayStation,"Action, RPG"
The Wandering Village,Steam,2025-07-17,3.8,4,23,334,25,"PC, Apple Macintosh, Linux","Strategy, Simulation"
Silent Hill f,"Steam, GOG",2025-09-24,3.64,4,58,478,61,"PC, PlayStation, Xbox","Adventure, Action"
MetaMorph,Steam,2025-03-04,0.0,0,4,323,4,PC,"Adventure, Action, RPG, Casual, Strategy, Simulation, Indie"
Monster Hunter Wilds,Steam,2025-02-27,4.21,5,29,577,33,"PC, PlayStation, Xbox","Adventure, Action, RPG"
Tainted Grail: The Fall of Avalon,"Steam, GOG",2025-05-23,3.79,5,38,33,39,"PC, PlayStation, Xbox","Indie, Adventure, Action, RPG"
South of Midnight,Steam,2025-04-08,3.6,4,60,116,60,"PC, Xbox","Adventure, Action"
Voidtrain,"Steam, Epic Games",2025-11-07,3.42,4,28,181,33,PC,"Indie, Action, Simulation"
