Name,Platform,Year,Genre,Publisher,NorthAmerica_Sales,Europe_Sales,Japan_Sales,Other_Sales,Global_Sales,Multi_Platform
NASCAR Thunder 2004,PS2,2003,Racing,Electronic Arts,0.53,0.41,0.0,0.14,1.08,True
SpongeBob SquarePants: Revenge of the Flying Dutchman,PS2,2002,Platform,THQ,0.53,0.41,0.0,0.14,1.08,True
Imagine: Babysitters,DS,2008,Simulation,Ubisoft,0.63,0.35,0.0,0.1,1.08,False
Namco Museum Battle Collection,PSP,2005,Misc,Sony Computer Entertainment,0.75,0.18,0.0,0.16,1.08,False
Fisherman's Bass Club,PS2,2002,Sports,Agetec,0.53,0.41,0.0,0.14,1.08,False
Empire: Total War,PC,2009,Strategy,Sega,0.01,0.97,0.0,0.1,1.08,False
Virtua Fighter 5,PS3,2007,Fighting,Sega,0.29,0.51,0.08,0.2,1.08,False
Dante's Inferno,PS3,2010,Action,Electronic Arts,0.64,0.28,0.04,0.13,1.08,True
Toy Story 3: The Video Game,PS3,2010,Action,Disney Interactive Studios,0.51,0.4,0.0,0.16,1.08,True
Joust,2600,1982,Platform,Atari,1.01,0.06,0.0,0.01,1.08,False
Tom Clancy's Ghost Recon 2,PS2,2004,Shooter,Ubisoft,0.64,0.34,0.0,0.1,1.08,True
Final Fantasy XIV: A Realm Reborn,PS3,2013,Role-Playing,Square Enix,0.37,0.3,0.28,0.13,1.08,True
Forza Horizon 3,XONE,2016,Racing,Microsoft Game Studios,0.42,0.58,0.0,0.08,1.08,False
Disney Infinity 2.0: Marvel Super Heroes,X360,2014,Action,Disney Interactive Studios,0.64,0.34,0.0,0.1,1.08,True
Ready 2 Rumble Boxing,PS,1998,Sports,Midway Games,0.6,0.41,0.0,0.07,1.08,True
Star Wars: The Force Unleashed,PSP,2008,Action,LucasArts,0.43,0.4,0.0,0.24,1.08,True
Dragon Ball Z: Taiketsu,GBA,2003,Fighting,Atari,0.77,0.29,0.0,0.02,1.08,False
Disney's Lilo & Stitch,GBA,2002,Platform,Ubisoft,0.77,0.29,0.0,0.02,1.08,False
Star Fox: Assault,GC,2005,Shooter,Nintendo,0.68,0.18,0.19,0.03,1.08,False
Plants vs. Zombies: Garden Warfare,X360,2014,Shooter,Electronic Arts,0.51,0.47,0.0,0.09,1.08,True
The Simpsons Game,PSP,2007,Action,Electronic Arts,0.24,0.54,0.0,0.3,1.07,True
Doko Demo Issyo,PS,1999,Misc,Sony Computer Entertainment,0.0,0.0,1.0,0.07,1.07,False
LEGO Star Wars II: The Original Trilogy,DS,2006,Action,LucasArts,0.96,0.03,0.0,0.08,1.07,True
Call of Duty 3,PS2,2006,Shooter,Activision,0.89,0.03,0.0,0.15,1.07,False
FIFA Soccer 11,WII,2010,Sports,Electronic Arts,0.26,0.69,0.0,0.12,1.07,True
Imagine: Fashion Designer New York,DS,2008,Simulation,Ubisoft,0.65,0.32,0.0,0.1,1.07,False
Prince of Persia,PS3,2008,Action,Ubisoft,0.47,0.4,0.03,0.17,1.07,True
Championship Manager 99/00,PC,1999,Sports,Eidos Interactive,0.0,0.98,0.0,0.09,1.07,False
Virtua Fighter,SAT,1994,Fighting,Sega,0.17,0.12,0.77,0.02,1.07,False
WWE SmackDown vs. Raw 2010,PS2,2009,Fighting,THQ,0.53,0.01,0.0,0.54,1.07,True
The Biggest Loser,WII,2009,Sports,THQ,0.86,0.12,0.0,0.09,1.07,True
Marvel vs. Capcom 3: Fate of Two Worlds,X360,2011,Fighting,Capcom,0.79,0.18,0.03,0.07,1.07,False
Tomb Raider: Underworld,X360,2008,Action,Eidos Interactive,0.53,0.42,0.01,0.11,1.07,True
NHL 99,PS,1997,Sports,Electronic Arts,0.59,0.4,0.0,0.07,1.07,True
Pro Evolution Soccer 2008,X360,2007,Sports,Konami Digital Entertainment,0.08,0.9,0.04,0.05,1.07,True
SoulCalibur III,PS2,2005,Fighting,Namco Bandai Games,0.74,0.15,0.13,0.05,1.07,False
Tiger Woods PGA Tour 10,WII,2009,Sports,Electronic Arts,0.6,0.36,0.0,0.11,1.07,True
MySims Agents,DS,2009,Adventure,Electronic Arts,0.54,0.42,0.0,0.11,1.07,True
Ridge Racer Revolution,PS,1995,Racing,Sony Computer Entertainment,0.17,0.12,0.71,0.07,1.07,False
World Tour Soccer,PSP,2005,Sports,Sony Computer Entertainment,0.1,0.63,0.0,0.34,1.07,False
Naruto: Ultimate Ninja Storm,PS3,2008,Fighting,Namco Bandai Games,0.49,0.34,0.09,0.15,1.07,False
Red Dead Redemption: Undead Nightmare,X360,2010,Action,Take-Two Interactive,0.57,0.38,0.02,0.1,1.07,False
Lightning Returns: Final Fantasy XIII,PS3,2013,Role-Playing,Square Enix,0.31,0.2,0.45,0.11,1.07,True
Hot Wheels Turbo Racing,PS,1999,Racing,Electronic Arts,0.59,0.4,0.0,0.07,1.07,True
NCAA Football 99,PS,1998,Sports,Electronic Arts,0.59,0.4,0.0,0.07,1.06,False
Mortal Kombat: Armageddon,PS2,2006,Fighting,Midway Games,0.88,0.04,0.0,0.14,1.06,True
Freekstyle,PS2,2002,Racing,Electronic Arts,0.52,0.41,0.0,0.14,1.06,True
Grand Theft Auto: Chinatown Wars,PSP,2009,Action,Take-Two Interactive,0.28,0.49,0.03,0.27,1.06,False
Spore Creatures,DS,2008,Simulation,Electronic Arts,0.66,0.3,0.0,0.1,1.06,False
The Orange Box,PS3,2007,Shooter,Electronic Arts,0.28,0.58,0.0,0.21,1.06,True
Simple 1500 Series Vol. 1: The Mahjong,PS,1998,Misc,D3Publisher,0.0,0.0,0.99,0.07,1.06,False
DJ Hero,X360,2009,Misc,Activision,0.56,0.39,0.0,0.11,1.06,True
Bully: Scholarship Edition,X360,2008,Action,Take-Two Interactive,0.53,0.4,0.03,0.11,1.06,True
NBA Street V3,PS2,2005,Sports,Electronic Arts,0.52,0.41,0.0,0.14,1.06,True
Worms Armageddon,PS,1999,Strategy,Microprose,0.18,0.81,0.0,0.08,1.06,True
Hulk,PS2,2003,Action,Universal Interactive,0.52,0.41,0.0,0.14,1.06,True
Overwatch,XONE,2016,Shooter,Activision,0.63,0.33,0.0,0.1,1.06,True
NFL Quarterback Club 98,N64,1997,Sports,Acclaim Entertainment,1.01,0.05,0.0,0.01,1.06,False
NFL Blitz,N64,1998,Sports,Midway Games,1.02,0.04,0.0,0.01,1.06,False
Aliens vs Predator,X360,2010,Shooter,Sega,0.55,0.4,0.0,0.11,1.06,True
Skylanders Giants,PS3,2012,Action,Activision,0.36,0.49,0.0,0.2,1.06,True
Diablo II: Lord of Destruction,PC,2001,Role-Playing,Vivendi Games,1.03,0.02,0.0,0.0,1.06,False
Endless Ocean,WII,2007,Adventure,Nintendo,0.43,0.46,0.09,0.09,1.06,False
