Year,Game,Genre,Developer(s),Award_Count
1998,GoldenEye 007,First-person shooter,Rare,3.0
1999,The Legend of Zelda: Ocarina of Time,Action-adventure,Nintendo EAD,6.0
2003,Call of Duty,First-person shooter,Infinity Ward,2.0
2004,Half-Life 2,First-person shooter,Valve,6.0
2007,BioShock,First-person shooter,Irrational Games,6.0
2008,Super Mario Galaxy,Platformer,Nintendo EAD,8.0
2009,Batman: Arkham Asylum,Action-adventure,Rocksteady Studios,2.0
2010,Mass Effect 2,Action role-playing,BioWare,7.0
2011,Portal 2,Puzzle-platformer,Valve,8.0
2012,Dishonored,Action-adventure,Arkane Studios,4.0
2013,The Last of Us,Action-adventure,Naughty Dog,15.0
2014,Destiny,Action role-playing,Bungie,2.0
2015,Fallout 4,Action role-playing,Bethesda Game Studios,2.0
2016,Uncharted 4: A Thief's End,Action-adventure,Naughty Dog,5.0
2018,God of War,Action-adventure,Santa Monica Studio,18.0
2019,Outer Wilds,Action-adventure,Mobius Digital,6.0
2020,Hades,Action role-playing,Supergiant Games,14.0
2021,Returnal,Third-person shooter,Housemarque,3.0
2023,Baldur's Gate 3,Role-playing,Larian Studios,11.0
2024,Astro Bot,Platformer,Team Asobi,10.0
2001,Halo: Combat Evolved,First-person shooter,Bungie,3.0
2002,Battlefield 1942,First-person shooter,Digital Illusions CE,2.0
2003,Call of Duty,First-person shooter,Infinity Ward,2.0
2004,Half-Life 2,First-person shooter,Valve,6.0
2005,God of War,Action-adventure,Santa Monica Studio,18.0
2006,Gears of War,Third-person shooter,Epic Games,4.0
2007,Call of Duty 4: Modern Warfare,First-person shooter,Infinity Ward,3.0
2008,LittleBigPlanet,Puzzle-platformer,Media Molecule,2.0
2009,Uncharted 2: Among Thieves,Action-adventure,Naughty Dog,12.0
2010,Mass Effect 2,Action role-playing,BioWare,7.0
2011,The Elder Scrolls V: Skyrim,Action role-playing,Bethesda Game Studios,11.0
2012,Journey,Adventure,Thatgamecompany,5.0
2013,The Last of Us,Action-adventure,Naughty Dog,15.0
2014,Dragon Age: Inquisition,Action role-playing,BioWare,10.0
2015,Fallout 4,Action role-playing,Bethesda Game Studios,2.0
2016,Overwatch,First-person shooter,Blizzard Entertainment,11.0
2017,The Legend of Zelda: Breath of the Wild,Action-adventure,Nintendo EPD,24.0
2018,God of War,Action-adventure,Santa Monica Studio,18.0
2019,Untitled Goose Game,Puzzle–stealth,House House,2.0
2020,Hades,Action role-playing,Supergiant Games,14.0
2021,It Takes Two,Action-adventure,Hazelight Studios,2.0
2022,Elden Ring,Action role-playing,FromSoftware,23.0
2023,Baldur's Gate 3,Role-playing,Larian Studios,11.0
2024,Astro Bot,Platformer,Team Asobi,10.0
2004,Monster Hunter,Action role-playing,Capcom,2.0
2005,Resident Evil 4,Survival horror,Capcom,8.0
2006,Final Fantasy XII,Role-playing,Square Enix,3.0
2007,Super Mario Galaxy,Platformer,Nintendo EAD,8.0
2007,Monster Hunter Portable 2nd,Action role-playing,Capcom,2.0
2008,Monster Hunter Portable 2nd G,Action role-playing,Capcom,2.0
2010,Monster Hunter Portable 3rd,Action role-playing,Capcom,2.0
2012,Animal Crossing: New Leaf,Life simulation,Nintendo EAD,2.0
2013,Monster Hunter 4,Action role-playing,Capcom,2.0
2014,Yo-kai Watch 2,Role-playing,Level-5,2.0
2015,Splatoon,Third-person shooter,Nintendo EAD,2.0
2017,The Legend of Zelda: Breath of the Wild,Action-adventure,Nintendo EPD,24.0
2018,Monster Hunter: World,Action role-playing,Capcom,2.0
2018,Super Smash Bros. Ultimate,Fighting,Bandai Namco Studios/Sora Ltd.,2.0
2020,Animal Crossing: New Horizons,Life simulation,Nintendo EPD,3.0
2021,Monster Hunter Rise,Action role-playing,Capcom,2.0
2022,Elden Ring,Action role-playing,FromSoftware,23.0
2023,The Legend of Zelda: Tears of the Kingdom,Action-adventure,Nintendo EPD,9.0
2014,Dragon Age: Inquisition,Action role-playing,BioWare,10.0
